Fighter,FPI
Bruno Silva,2.317537732338061
Bryan Barberena,3.9322987044632582
Bryan Battle,2.701779218668727
Bryan Caraway,4.702231503035023
Bryce Mitchell,3.782386579773105
Bubba Bush,0.9170933359940714
Cain Velasquez,6.727154064254013
Caio Borralho,3.145181394219386
Caio Machado,1.6068462356627273
Caio Magalhaes,3.347136179950258
Callan Potter,1.819883948386878
Caludia Gadelha,3.0987842637232985
Caludio Puelles,1.751952014516356
Calvin Kattar,4.596839319279432
Cameron Saaiman,3.019861957471033
Caol Uno,4.572808716371347
Carla Esparza,3.7237790837466758
Carli Judice,0.8184254916379688
Carlos Candelario,2.013435391140363
Carlos Condit,5.648674145255778
Carlos Felipe,1.8869733754960718
Carlos Hernandez,1.8362675887543216
Carlos Ulberg,2.6771832542442136
Carlston Harris,2.0710889495372737
Carlton Minus,0.24063682190000002
Casey Kenney,2.820821644979759
Casey O'Neill,3.137559932788845
Cat Zingano,3.817893395201164
Cathal Pendred,3.8518801221454173
Cb Dollaway,4.3567612344406
Cesar Almeida,2.524387840412979
Cesar Arzamendia,1.634966439130498
Cezar Ferreira,3.5521080135362673
Chad Anheliger,2.0718664365923165
Chad Laprise,3.744604842261878
Chad Mendes,4.99830095905451
Chael Sonnen,5.729388472823472
Chan Sung Jung,4.419210243971613
Charalampos Grigoriou,2.105705603338689
Charles Byrd,1.9084232398511771
Charles Johnson,2.4979888259098484
Charles Jourdain,2.611085826995922
Charles Oliveira,6.112582307812566
Charles Radtke,2.960467869852119
Charles Rosa,2.7217554156385115
Charlie Brenneman,3.183359080594758
Chas Skelly,3.833395810303032
Chase Hooper,2.9006348591678695
Chase Sherman,2.425734394127274
Che Mills,2.6922682850742135
Cheick Kongo,4.9070929284321645
Cheyanne Buys,1.427832886586387
Cheyanne Vlismas,2.3063993300019807
Chico Camus,2.468135159341412
Chidi Njokuani,2.667729524721302
Chris Barnett,1.984709758955485
Chris Beal,3.0150765117349425
Chris Camozzi,3.6379129490892175
Chris Cariaso,4.213134290510376
Chris Clements,3.720896876652263
Chris Curtis,3.7746838477699485
Chris Daukaus,3.079406880440827
Chris Duncan,2.422560105506447
Chris Gruetzemacher,2.576353142621458
Chris Gutierrez,2.611941618182424
Chris Holdsworth,2.2524201783290474
Chris Indich,1.0637611063517318
Chris Kelades,3.324822113530841
Chris Leben,5.015662580808505
Chris Lytle,4.522959756875209
Chris Wade,2.995412128889913
Chris Weidman,6.462311728912072
Christian Aguilera,2.163115689535103
Christian Leroy Duncan,2.4761901915606095
Christian Morecraft,4.509396208131692
Christian Rodriguez,3.033353001784289
Christos Giagos,2.246083839982573
Chuck Liddell,7.749705107342132
Ciryl Gane,3.8419220718362865
Cj Vergara,2.4464379320584984
Claude Patrick,4.056463547332091
Claudia Gadelha,4.691509633170573
Claudio Puelles,3.0063249619805164
Claudio Ribeiro,2.578732508188916
Claudio Silva,3.8434349883685073
Clay Collard,3.6907077780189246
Clay Guida,5.292837614631987
Clay Harvison,3.014887985026089
Clayton Carpenter,2.270917242055463
Clint Hester,3.675911587391171
Cm Punk,0.9644107670865578
Cody Brundage,2.3465866728965943
Cody Donovan,2.2544533358711596
Cody Durden,3.017506987130627
Cody East,2.0414998675365945
Cody Garbrandt,4.862274185658025
Cody Mckenzie,2.88756273656574
Cody Stamann,3.49017719594326
Colby Covington,5.172686018234808
Cole Miller,4.609518816940273
Cole Smith,1.609330992621255
Cole Williams,0.2931927431713395
Collin Anglin,1.4927745063432094
Colton Smith,3.678739456571055
Conor Mcgregor,5.908781574847474
Corey Anderson,4.776521068603638
Cortney Casey,3.34318348907452
Cory Mckenna,1.3317315248917934
Cory Sandhagen,5.044963474227835
Costas Philippou,4.243208448479721
Court Mcgee,4.758804824708529
Cris Cyborg,4.69337935572521
Cristian Quinonez,3.3272842262270856
Cristiano Marcello,2.8247674469328845
Cub Swanson,5.0001057318080875
Cung Le,2.860861159180516
Curtis Blaydes,5.70575159073999
Curtis Millender,4.396068159737654
Cynthia Calvillo,3.4424926824466042
Cyril Asker,2.156775896009589
Cyrille Diabate,2.683779566000289
Da Un Jung,1.868941061930647
Da Woon Jung,3.3369721520445528
Da'Mon Blackshear,2.555939766681198
Da-Un Jung,3.770026003061701
Dakota Bush,1.9444640002654592
Dalcha Lungiambula,1.7966567980386956
Damacio Page,2.4636201219028893
Damarques Johnson,3.7011461129459686
Damian Grabowski,2.248156151596482
Damian Stasiak,2.474329389032911
Damien Brown,3.57406233815368
Damir Hadzovic,3.6992009311109695
Damir Ismagulov,3.393174790094838
Damon Jackson,3.446432306825182
Dan Argueta,2.219675066557723
Dan Hardy,4.646600360857385
Dan Henderson,4.348722348226158
Dan Hooker,4.173336625742534
Dan Ige,3.8115501316054017
Dan Miller,3.7435935146756796
Danaa Batgerel,1.3767727086392219
Daniel Barez,2.2586680468104627
Daniel Cormier,6.353077270008599
Daniel Jolly,0.6304184343789279
Daniel Kelly,3.9492014709491388
Daniel Lacerda,1.6077784491894636
Daniel Omielanczuk,3.2976303450952194
Daniel Pineda,2.358879322793142
Daniel Roberts,3.3010192677656303
Daniel Rodriguez,3.015998106687155
Daniel Santos,2.547693731410695
Daniel Sarafian,2.1362281270118615
Daniel Spitz,1.2259648764615556
Daniel Teymur,2.0232238603068047
Daniel Zellhuber,2.5737842640403303
Danielle Taylor,3.5391324150969563
Danny Barlow,1.647178654133214
Danny Castillo,4.321520841445505
Danny Henry,3.9223799534755863
Danny Roberts,3.3769227177949244
Darian Weeks,1.6247587750963661
Darko Stosic,2.2294003714839787
Daron Cruickshank,3.8373821373911463
Darrell Montague,1.7389087824701144
Darren Elkins,4.880484298880481
Darren Stewart,2.2876303539031575
Darren Till,4.150741635313523
Darrick Minner,2.045912612178385
Davey Grant,3.155211256588115
Davi Ramos,3.8301372879962656
David Branch,3.994731422877081
David Dvorak,1.8637167208730876
David Loiseau,2.390835766330153
David Michaud,2.9363534133829567
David Onama,2.2331258854539096
David Teymur,4.057926335351201
David Zawada,2.9830399050155614
Dean Barry,0.7465489276232969
Deiveson Figueiredo,4.922103732971651
Demetrious Johnson,7.029506209368501
Demian Maia,6.315175768244089
Denis Tiuliulin,1.660384071530068
Denise Gomes,1.904211499462242
Dennis Bermudez,5.240503122620635
Dennis Buzukja,1.9230338511038176
Dennis Hallman,3.757135795905964
Dennis Siver,4.8755904797025496
Dequan Townsend,0.4410132502000151
Derek Brunson,5.4643887412544885
Deron Winn,2.3898827703057015
Derrick Lewis,4.906417807145404
Desmond Green,4.540961487439195
Devin Clark,2.941284995442759
Devin Powell,1.4780591333841164
Devonte Smith,2.589513187119804
Dhiego Lima,3.1324544105524246
Diana Belbita,1.0643231457561646
Diego Brandao,3.267139283044699
Diego Ferreira,4.540580789952488
Diego Lopes,3.4752110078705925
Diego Nunes,5.167088136219498
Diego Rivas,2.208882543366807
Diego Sanchez,6.029051534483866
Dione Barbosa,2.175131545792276
Dmitrii Smoliakov,0.9050090624064538
Domingo Pilarte,1.2373613741644476
Dominick Cruz,6.272856775671033
Dominick Reyes,4.485639786762974
Don Madge,2.6530015794079898
Don'Tale Mayes,2.142588711073068
Donald Cerrone,6.238747225796413
Dong Hyun Kim,5.0477230378011
Dong Hyun Ma,2.825726542933462
Dongi Yang,3.483677285028567
Dooho Choi,3.0909866339844605
Douglas Silva De Andrade,3.1933060008599132
Drakkar Klose,3.302581516179462
Drew Dober,4.23981410275028
Dricus Du Plessis,6.505588483320251
Duane Ludwig,3.264581675946309
Dusko Todorovic,1.9134131025664944
Dustin Hazelett,4.672577053584265
Dustin Jacoby,2.8261484385520723
Dustin Ortiz,4.575152382281975
Dustin Pague,2.4207512112939575
Dustin Poirier,5.682010734828689
Dustin Stoltzfus,3.9208114290394467
Dwight Grant,2.1771238787547373
Dylan Andrews,3.1410073249554316
Dylan Budka,1.875865147875533
Ed Herman,4.703820046578958
Eddie Alvarez,6.314313513624994
Eddie Gordon,2.33012937532917
Eddie Wineland,3.9575270506171876
Edgar Chairez,1.7584184381295258
Edmen Shahbazyan,3.980677022193858
Edson Barboza,5.256688671162384
Eduarda Moura,2.834720460403296
Edwin Figueroa,2.1923710158128817
Efrain Escudero,3.4378776390325836
Elias Silverio,4.2399930963466375
Elias Theodorou,4.764321271025301
Eliot Marshall,3.9563048630679676
Elise Reed,1.236772554035664
Elizeu Dos Santos,3.194685013348691
Elizeu Zaleski Dos Santos,4.234585079968934
Elves Brener,3.74147678087581
Elvis Mutapcic,2.872073373252266
Emil Meek,4.209051073171662
Emily Ducote,2.4632544814441046
Emily Whitmire,1.7989048713386975
Enrique Barzola,4.232301849224198
Eric Schafer,3.6451788737161426
Eric Shelton,3.461701087472064
Eric Spicely,2.554498799083694
Erick Gonzalez,2.212643973914507
Erick Montano,2.5978831358223164
Erick Silva,3.4501584704102313
Erik Koch,3.583156249116199
Erik Perez,4.070685971657567
Erik Silva,2.3961743529356356
Erin Blanchfield,3.7186279555374586
Eryk Anders,3.103643820502439
Esteban Ribovics,2.8504375151797827
Evan Dunham,5.462521308884137
Evan Elder,1.5103289382788805
Fabio Maldonado,4.553538205183979
Fabricio Camoes,2.171486270782362
Fabricio Werdum,5.879973009791752
Fares Ziam,2.408504179642561
Farid Basharat,3.1387935981265214
Felice Herrig,3.480643025026957
Felicia Spencer,1.632480689415489
Felipe Arantes,3.215289997849045
Felipe Dos Santos,1.9825868114397736
Fernando Padilla,2.0851469342207007
Fernie Garcia,1.7193500637166133
Forrest Griffin,7.263290766591151
Forrest Petz,2.137862437419206
Francimar Barroso,2.741766987776649
Francis Carmont,4.610211090041724
Francis Marshall,2.7507887630845307
Francis Ngannou,4.770394521711394
Francisco Figueiredo,1.0583045279599015
Francisco Rivera,4.46952618845266
Francisco Trevino,3.9797840016446275
Francisco Trinaldo,4.633598395907233
Frank Camacho,2.718927539681557
Frank Mir,4.935182156103902
Frankie Edgar,7.248285044924261
Frankie Perez,3.1574769587092026
Frankie Saenz,3.806544319626124
Gabe Green,1.7935121327900256
Gabriel Benitez,3.114923597122828
Gabriel Bonfim,3.2324287083562266
Gabriel Gonzaga,4.274919353509981
Gabriel Silva,0.9826580232577267
Gadzhimurad Antigulov,2.9912555514681505
Garreth Mclellan,3.6133866867614484
Gaston Bolanos,1.419353491642814
Gavin Tucker,2.6989574611284937
Gegard Mousasi,4.322985423994299
Geoff Neal,4.297373345211165
George Roop,3.6371485980552882
George Sotiropoulos,5.308484088680508
George Sullivan,3.7633151661395168
Georges St-Pierre,8.236263756804748
Gerald Meerschaert,4.201351189433779
Geraldo De Freitas,2.0011646741363562
Germaine De Randamie,3.670512441596059
Gian Villante,3.862446725975819
Giga Chikadze,3.100016513158785
Gilbert Burns,4.81169579553907
Gilbert Melendez,5.082583085966288
Gilbert Urbina,2.188846857199581
Gillian Robertson,2.8802097422577853
Gina Mazany,2.145439256957946
Glaico Franca,3.977068102701411
Gleison Tibau,5.236363190645077
Gloria De Paula,1.0169820671351752
Glover Teixeira,5.739191216485246
Godofredo Pepey,2.551214972337498
Gokhan Saki,2.9582648908838096
Grant Dawson,4.376640819963532
Gray Maynard,5.614215669194897
Greg Hardy,1.610564405824654
Gregor Gillespie,4.47119365859873
Gregory Rodrigues,2.81564396160565
Guido Cannetti,3.0926599807342123
Gunnar Nelson,4.110607707348288
Guram Kutateladze,1.219834455618936
