Fighter,FPI
Eduarda Moura,3.4331263992371177
Elise Reed,1.5061387709745
Elizeu Zaleski Dos Santos,5.866479271979425
Elves Brener,4.3862199444624785
Emily Ducote,3.0530440135233388
Erick Gonzalez,2.6911544376180085
Erik Silva,2.8348054652046084
Erin Blanchfield,4.463898094225507
Eryk Anders,3.8746913566466974
Esteban Ribovics,3.2392212711775707
Evan Elder,1.8282534294230988
Fares Ziam,2.882206913240054
Farid Basharat,3.824824767215059
Felice Herrig,4.795710831410367
Felipe Dos Santos,2.3863366533409
Fernando Padilla,2.541061852014744
Fernie Garcia,2.0701784909365046
Francis Marshall,3.306876942343466
Francisco Trinaldo,6.04977820340617
Frank Camacho,3.291147847306226
Gabe Green,2.1494043041657775
Gabriel Benitez,4.055972468827591
Gabriel Bonfim,3.880611607539567
Gaston Bolanos,1.730666002357242
Geoff Neal,5.393158361454314
Gerald Meerschaert,5.326313510462793
Giga Chikadze,3.6766154888797806
Gilbert Burns,6.026314861458032
Gilbert Urbina,2.6520791915028066
Gillian Robertson,3.3931108007980395
Gina Mazany,2.7874772955650937
Glover Teixeira,7.504076276660341
Grant Dawson,5.260744184450244
Gregory Rodrigues,3.3696105245664416
Guido Cannetti,4.11244203305434
Gunnar Nelson,5.191593653976043
Guram Kutateladze,1.5334588855323066
Hailey Cowan,1.2464264943914818
Hakeem Dawodu,3.339614128283316
Holly Holm,5.44139503968138
Hyunsung Park,2.7953817547116633
Ian Garry,2.1440633083402614
Ian Machado Garry,3.6628461579577207
Iasmin Lucindo,0.9373111337163441
Ibo Aslan,3.1164353783547707
Ignacio Bahamondes,3.707878614215925
Igor Severino,3.930785924514045
Ikram Aliskerov,4.648132580652118
Ilia Topuria,6.678774733152132
Ilir Latifi,4.872163804789901
Ion Cutelaba,4.180154514070682
Irene Aldana,5.018249981811331
Irina Alekseeva,2.3613113585980887
Isaac Dulgarian,2.5075464897439423
Islam Makhachev,6.641119514795035
Ismael Bonfim,3.9568349249806047
Ismail Naurdiev,2.577387255504939
Israel Adesanya,6.946557649943684
Ivana Petrovic,2.2211374697994306
Jack Della Maddalena,3.8246690490105784
Jack Hermansson,5.366715169139202
Jack Jenkins,3.258973736979784
Jack Shore,4.092818379318354
Jacob Malkoun,3.067829981507458
Jacqueline Cavalcanti,2.1807275087634093
Jafel Filho,3.486829994891693
Jai Herbert,2.2594966129179106
Jailton Almeida,6.1899825196355165
Jairzinho Rozenstruik,4.985113836364088
Jake Collier,3.1538620458947606
Jake Hadley,2.5964037472157773
Jake Matthews,5.407011871825095
Jalin Turner,4.644368487780985
Jamall Emmers,1.8620993764640466
James Llontop,2.013101837788209
Jamey-Lyn Horth,2.375645889155363
Jamie Mullarkey,3.108912722753024
Jan Blachowicz,6.62175257463077
Jaqueline Amorim,3.0811557835310004
Jared Cannonier,5.327657540816742
Jared Gordon,4.588216996572789
Jared Vanderaa,2.067554809127869
Jarno Errens,1.6321856432566053
Jasmine Jasudavicius,2.4456569426390153
Jason Witt,3.4341692746850563
Javid Basharat,3.5876741227305944
Jeff Molina,2.665729439859402
Jeka Saragih,3.338957127604584
Jennifer Maia,3.3627374269584682
Jeongyeong Lee,3.816997308736682
Jeremiah Wells,3.8455652125957647
Jessica Andrade,7.0401682994766555
Jessica Eye,4.926837554016218
Jessica Penne,3.655163619788505
Jessica-Rose Clark,3.151430264815946
Jesus Aguilar,2.922060550675009
Jhonata Diniz,4.329219571017713
Ji Yeon Kim,3.8555180468030437
Jim Miller,7.099476708588538
Jimmy Crute,4.943165648742402
Jimmy Flick,3.434658967705819
Jiri Prochazka,4.27826682034693
Jj Aldrich,3.0217925188495114
Joanderson Brito,3.5892925797887423
Joanne Wood,3.834788134073274
Joaquim Silva,3.1674716577971873
Joaquin Buckley,3.248029246169153
Joe Pyfer,3.1902553275753593
Joe Solecki,3.9615411207043723
Joel Alvarez,3.4323555721447145
John Castaneda,3.389353219675086
John Makdessi,6.16292924322282
Johnny Munoz,2.7536529355624384
Johnny Walker,4.381424416808575
Jon Jones,9.527688133859323
Jonathan Martinez,3.6156928031513496
Jonathan Pearce,4.836217116763458
Jordan Leavitt,3.330992692540283
Jordan Wright,2.6222709271258737
Jose Aldo,9.350019469451762
Josefine Knutsson,2.277022880405347
Joselyne Edwards,2.4628668199005816
Joseph Holmes,2.438568711642947
Josh Culibao,3.0339029770642925
Josh Emmett,6.112222195702421
Josh Fremd,2.8730687017810346
Josh Parisian,2.8624589387448633
Josh Quinlan,2.1416085451314273
Joshua Van,2.5726555317168533
Josiane Nunes,2.089690935105003
Journey Newson,1.4520563496870547
Jp Buys,2.703977990183771
Julia Polastri,2.7218536864303546
Julian Erosa,4.056379834066304
Julian Marquez,3.5198020981657825
Juliana Miller,2.2603652361736843
Julianna Pena,5.028249073675117
Julija Stoliarenko,1.2864595378864523
Julio Arce,4.959783062519833
Junior Tafa,2.4320955296206406
Junyong Park,3.5164570319984736
Justin Gaethje,6.695038366245881
Justin Tafa,1.9752679229854182
Kaan Ofli,0.3838165351926926
Kai Kara-France,4.1010843094608544
Kamaru Usman,7.866835912530507
Kamuela Kirk,2.184161285253439
Karine Silva,3.3321767633276544
Karl Williams,3.243037779923866
Karol Rosa,2.6252791925184553
Karolina Kowalkiewicz,4.978143392936293
Katlyn Cerminara,5.425088027013697
Katlyn Chookagian,5.17265392498319
Kaue Fernandes,2.9073521194618417
Kelvin Gastelum,6.302516831654033
Kennedy Nzechukwu,3.7977166921119094
Ketlen Vieira,4.3415705956549555
Kevin Holland,4.798716932623638
Kevin Jousset,3.248238606747357
Kevin Lee,7.397353949251357
Khalid Taha,1.998478778106017
Khalil Rountree Jr.,3.00891494248078
Khamzat Chimaev,5.109496580717087
Khaos Williams,3.3616763143829
King Green,7.465324311964016
Kiru Sahota,2.334044971951188
Kleydson Rodrigues,1.9247590259851932
Kron Gracie,2.576600365409445
Krzysztof Jotko,5.758478354865376
Kurt Holobaugh,2.496620886524515
Kyle Nelson,3.70483680900646
Kyler Phillips,3.5146034139108537
Kyung Ho Kang,3.765901380389574
Lando Vannata,4.010230321000974
Landon Quinones,1.7813961335034645
Lauren Murphy,4.194544851973505
Leon Edwards,6.55717146160706
Leonardo Santos,5.126054814508242
Lerone Murphy,3.974049975409515
Li Jingliang,5.812592214954764
Liang Na,2.2247066744030524
Lina Lansberg,3.179120116000637
Liudvik Sholinian,2.555171885610348
Loik Radzhabov,3.2382565125958447
Loma Lookboonmee,2.285766984881124
Lone'Er Kavanagh,2.2627653859555634
Loopy Godinez,2.4606309280668857
Luan Lacerda,3.114626856986095
Luana Carolina,2.7854866636333657
Luana Pinheiro,4.083939748695418
Luana Santos,2.9823319213145294
Lucie Pudilova,2.9029581428855797
Ludovit Klein,3.1552333295691404
Mackenzie Dern,4.1764438899915355
Macy Chiasson,3.3660596012216444
Magomed Ankalaev,4.701969581816891
Magomed Gadzhiyasulov,3.082023767032868
Maheshate,2.6356441478327373
Makhmud Muradov,3.9902917269712006
Makwan Amirkhani,4.578691668489549
Malcolm Gordon,2.4102047097660035
Mana Martinez,2.450442346635589
Mandy Bohm,1.688481958131503
Manel Kape,2.2757493703998795
Manon Fiorot,3.7642887284458935
Mansur Abdul-Malik,3.2863617136407677
Manuel Torres,4.487488539592486
Marc Diakiese,3.994141834225503
Marc-Andre Barriault,3.1679987376392913
Marcelo Rojo,1.6935080925750523
Marcin Tybura,5.011392889427451
Marcos Rogerio De Lima,3.57993899320056
Marcus Mcghee,2.7091486755084913
Maria Oliveira,1.570472325137339
Marina Rodriguez,4.514147868957413
Mario Bautista,2.748518874333265
Mariya Agapova,2.3565773525232094
Marlon Vera,5.459527668362725
Marnic Mann,1.0552769869099452
Martin Buday,3.0494563780871604
Marvin Vettori,4.694195343345003
Mason Jones,2.218824235164919
Mateusz Gamrot,5.429079491444921
Mateusz Rebecki,4.064361135228638
Matheus Nicolau,4.527080766281805
Matt Brown,6.238302594722653
Matt Frevola,4.1557537388227415
Matt Schnell,3.9510329963317528
Matthew Semelsberger,3.0700309626985565
Mauricio Rua,7.402977156875972
Mauricio Ruffy,2.9086984439157613
Max Griffin,3.640325755204531
Max Holloway,8.605210612249545
Mayra Bueno Silva,3.226106225909004
Melissa Martinez,0.7989222041811275
Melissa Mullins,1.3118044504472706
Melquizael Costa,3.312716889694872
Merab Dvalishvili,6.485433420639118
Michael Chandler,6.8078001684960405
Michael Chiesa,5.956052111565341
Michael Johnson,5.561091129170277
Michael Morales,3.876993662981388
Michael Trizano,3.6400744967413075
Michel Pereira,3.1317703190380954
Michelle Waterson-Gomez,4.7098201186929005
Mick Parkin,2.976995605810726
Mickey Gall,3.58420336277477
Miesha Tate,5.175946296334309
Miguel Baeza,3.2264199144731203
Mike Breeden,2.2021478638654415
Mike Davis,1.9312805576510141
Mike Jackson,1.3202697623141355
Mike Malott,3.7918303188498705
Miles Johns,2.470325925991911
Miranda Maverick,3.3905811457725727
Misha Cirkunov,4.882561293067899
Mitch Raposo,1.861077383762088
Mizuki,1.9407267068342873
Modestas Bukauskas,1.9974788612319125
Mohammad Yahya,1.5900781559148813
Mohammed Usman,2.614227739241589
Molly Mccann,2.7782585615263744
Montana De La Rosa,4.1101817237290845
Montel Jackson,4.008754012543841
Montserrat Rendon,1.5945820404771343
Morgan Charriere,2.898682655572316
Movsar Evloev,4.894365354341424
Muhammad Mokaev,4.051377783457565
Muhammad Naimov,2.980037813067111
Nasrat Haqparast,3.4408301700458135
Nassourdine Imavov,4.748579995030202
Natalia Silva,2.346894820284966
Natan Levy,3.229909035296087
Nate Diaz,7.354178438164605
Nate Landwehr,3.220486440636982
Nate Maness,3.6892794880620157
Nathaniel Wood,4.499741726344886
Nazim Sadykhov,3.1066840966182077
Neil Magny,6.85321415106014
Nick Maximov,4.51130994284518
Nicolae Negumereanu,2.552140342440867
Nicolas Dalby,4.184745309526274
Nikita Krylov,5.972749253736542
Niklas Stolze,1.3401533913731203
Niko Price,4.669983787191667
Nikolas Motta,1.5706440655662555
Nora Cornolle,2.26486886941685
Norma Dumont,3.4260939606505874
Nursulton Ruziboev,2.682706212463804
Nyamjargal Tumendemberel,3.427578364145637
Oban Elliott,2.550623675436012
Ode Osbourne,3.3131824966793744
Omar Morales,2.852583454655336
Orion Cosce,2.1331721825428835
Ottman Azaitar,3.0596826968095754
Oumar Sy,2.865478900531836
Ovince Saint Preux,5.903058407163392
Paddy Pimblett,3.310871267817149
Pannie Kianzad,3.531875148965052
Pat Sabatini,3.1747070536361752
Paul Craig,5.12479025767406
Paulo Costa,5.034539289159711
Payton Talbott,2.848769528869256
Pedro Falcao,3.465270373544009
Pedro Munhoz,5.626783479603442
Petr Yan,6.283416284105398
Phil Hawes,3.961836745456747
Phil Rowe,3.9019645989852276
Philipe Lins,1.918032520576782
Piera Rodriguez,2.795660694590262
Polyana Viana,3.280711355622559
Priscila Cachoeira,1.729011260769477
Punahele Soriano,3.394173201527405
Rafa Garcia,2.6834325708137947
Rafael Alves,2.8847371384400247
Rafael Dos Anjos,8.429579595695332
Rafael Fiziev,5.297325836288333
Ramona Pascual,1.5986451653777314
Randy Brown,5.156160014753588
Rani Yahya,5.736311957934611
Raoni Barcelos,4.241703861170195
Raphael Assuncao,6.100275094254643
Raquel Pennington,5.809231877340561
Raul Rosas Jr.,3.279478609652013
Raulian Paiva,3.1109786429758897
Rayanne Dos Santos,1.1399410009369217
Rei Tsuruya,4.321085606331285
Renato Moicano,5.08306163059575
Ricardo Ramos,4.282487681338289
Ricky Glenn,3.803077505962467
Ricky Simon,5.282807804611013
Ricky Turcios,2.0630817018509076
Rinat Fakhretdinov,3.5036763306913334
Rinya Nakamura,3.36683488072986
Rob Font,5.878768016312625
Robbie Lawler,8.24021293129655
Robelis Despaigne,2.475428116407674
Robert Bryczek,1.5049971249159715
Robert Valentin,2.361334534904967
Robert Whittaker,6.873239545697174
Rodolfo Bellato,2.6182884862087348
Rodolfo Vieira,3.8909885288056065
Rodrigo Nascimento,2.998124860228826
Roman Dolidze,3.6972472793303144
Roman Kopylov,2.6828300388823814
Ronaldo Rodriguez,2.4418864343444446
Rongzhu,3.52855417744772
Ronnie Lawrence,5.340528035021818
Rose Namajunas,7.27559934294885
Ryan Spann,4.836067826559883
Said Nurmagomedov,4.093274976802672
Saimon Oliveira,1.7038429161087434
Sam Alvey,4.872710980420608
Sam Patterson,2.355755782629301
Santiago Ponzinibbio,5.235712027679479
Sean Brady,4.201765345741082
Sean O'Malley,5.7676608838024315
Sean Strickland,5.370532200617471
Sean Woodson,2.5417035683174833
Sedriques Dumas,2.0499496430562782
Sergei Pavlovich,5.753353592915735
Sergey Morozov,2.4492443762137452
Serhiy Sidey,2.26180737572373
Seungguk Choi,3.8753148584866746
Seungwoo Choi,1.8953082228572626
Shamil Abdurakhimov,4.149368869478973
Shamil Gaziev,3.34591764571655
Shane Burgos,6.267562507480757
Shane Young,3.189056244193816
Shannon Ross,1.752331773724884
Shara Magomedov,2.9549169785147864
Shauna Bannon,1.306014303322901
Shavkat Rakhmonov,5.390587580509885
Shayilan Nuerdanbieke,2.8903725024743205
Shi Ming,2.474038168496937
Sodiq Yusuff,4.683066578442078
Song Kenan,3.2906605166182015
Song Yadong,4.308603552986721
Stephanie Egger,2.457640201812175
Stephanie Luciano,1.2455927271260376
Stephen Thompson,7.272933579906934
Steve Erceg,2.285212824052106
Steve Garcia,3.355515189745902
Steven Peterson,2.301171583264269
Stewart Nicoll,3.538719128734376
Tabatha Ricci,4.099877708371713
Tagir Ulanbekov,3.7159874311368752
Tai Tuivasa,4.719858697455297
Tainara Lisboa,2.437356024154359
Takashi Sato,1.7933549632919283
Tamires Vidal,2.168193291083881
Tanner Boser,3.7541025740539795
Tatiana Suarez,5.948983465982077
Tatsuro Taira,3.108221494406889
Taylor Lapilus,3.867355609073287
Tereza Bleda,1.4954602918664555
Terrance Mckinney,3.2820520844311254
Themba Gorimbo,3.834625522105751
Thiago Moises,3.8315076378502337
Thiago Santos,5.536278357112275
Thomas Petersen,3.151447851292062
Tim Elliott,4.6434304973186
Tim Means,5.545973821532101
Timmy Cuamba,1.6953342598917505
Tj Brown,3.1055765745116037
Tom Aspinall,4.684537656068974
Tom Nolan,2.276185415478157
Tony Ferguson,7.486631375435583
